Especies	L1	L2	L3	Altura	Ancho	Peso
1	23.2	25.4	30	11.52	4.02	242
1	24	26.3	31.2	12.48	43.056	290
1	23.9	26.5	31.1	123.778	46.961	340
1	26.3	29	33.5	12.73	44.555	363
1	26.5	29	34	12.444	5.134	430
1	26.8	29.7	34.7	136.024	49.274	450
1	26.8	29.7	34.5	141.795	52.785	500
1	27.6	30	35	12.67	4.69	390
1	27.6	30	35.1	140.049	48.438	450
1	28.5	30.7	36.2	142.266	49.594	500
1	28.4	31	36.2	142.628	51.042	475
1	28.7	31	36.2	143.714	48.146	500
1	29.1	31.5	36.4	137.592	4.368	500
1	29.5	32	37.3	139.129	50.728	340
1	29.4	32	37.2	149.544	51.708	600
1	29.4	32	37.2	15.438	5.58	600
1	30.4	33	38.3	148.604	52.854	700
1	30.4	33	38.5	14.938	51.975	700
1	30.9	33.5	38.6	15.633	51.338	610
1	31	33.5	38.7	144.738	57.276	650
1	31.3	34	39.5	151.285	55.695	575
1	31.4	34	39.2	159.936	53.704	685
1	31.5	34.5	39.7	155.227	52.801	620
1	31.8	35	40.6	154.686	61.306	680
1	31.9	35	40.5	162.405	5.589	700
1	31.8	35	40.9	16.36	60.532	725
1	32	35	40.6	163.618	6.09	720
1	32.7	36	41.5	16.517	58.515	714
1	32.8	36	41.6	168.896	61.984	850
1	33.5	37	42.6	18.957	6.603	1000
1	35	38.5	44.1	180.369	63.063	920
1	35	38.5	44	18.084	6.292	955
1	36.2	39.5	45.3	187.542	67.497	925
1	37.4	41	45.9	186.354	67.473	975
1	38	41	46.5	176.235	63.705	950
2	12.9	14.1	16.2	41.472	2.268	40
2	16.5	18.2	20.3	52.983	28.217	69
2	17.5	18.8	21.2	55.756	29.044	78
2	18.2	19.8	22.2	56.166	31.746	87
2	18.6	20	22.2	6.216	35.742	120
2	19	20.5	22.8	64.752	33.516	0
2	19.1	20.8	23.1	61.677	33.957	110
2	19.4	21	23.7	61.146	32.943	120
2	20.4	22	24.7	58.045	37.544	150
2	20.5	22	24.3	66.339	35.478	145
2	20.5	22.5	25.3	70.334	38.203	160
2	21	22.5	25	6.55	3.325	140
2	21.1	22.5	25	6.4	3.8	160
2	22	24	27.2	75.344	38.352	169
2	22	23.4	26.7	69.153	36.312	161
2	22.1	23.5	26.8	73.968	41.272	200
2	23.6	25.2	27.9	70.866	3.906	180
2	24	26	29.2	88.768	44.968	290
2	25	27	30.6	8.568	47.736	272
2	29.5	31.7	35	9.485	5.355	390
3	23.6	26	28.7	83.804	42.476	270
3	24.1	26.5	29.3	81.454	42.485	270
3	25.6	28	30.8	8.778	46.816	306
3	28.5	31	34	10.744	6.562	540
3	33.7	36.4	39.6	117.612	65.736	800
3	37.3	40	43.5	12.354	6.525	1000
4	13.5	14.7	16.5	68.475	23.265	55
4	14.3	15.5	17.4	65.772	23.142	60
4	16.3	17.7	19.8	74.052	2.673	90
4	17.5	19	21.3	83.922	29.181	120
4	18.4	20	22.4	88.928	32.928	150
4	19	20.7	23.2	85.376	32.944	140
4	19	20.7	23.2	9.396	34.104	170
4	19.8	21.5	24.1	97.364	31.571	145
4	21.2	23	25.8	103.458	36.636	200
4	23	25	28	11.088	4.144	273
4	24	26	29	11.368	4.234	300
5	7.5	8.4	8.8	2.112	1.408	5.9
5	12.5	13.7	14.7	3.528	19.992	32
5	13.8	15	16	3.824	2.432	40
5	15	16.2	17.2	45.924	26.316	51.5
5	15.7	17.4	18.5	4.588	29.415	70
5	16.2	18	19.2	52.224	33.216	100
5	16.8	18.7	19.4	51.992	31.234	78
5	17.2	19	20.2	56.358	30.502	80
5	17.8	19.6	20.8	51.376	30.368	85
5	18.2	20	21	5.082	2.772	85
5	19	21	22.5	56.925	3.555	110
5	19	21	22.5	59.175	33.075	115
5	19	21	22.5	56.925	36.675	125
5	19.3	21.3	22.8	6.384	3.534	130
5	20	22	23.5	6.11	34.075	120
5	20	22	23.5	5.64	3.525	120
5	20	22	23.5	6.11	3.525	130
